Squadra,N. di giocatori,Età,Poss.,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP
Arsenal,23,26.2,48.0,7,77,630,7.0,2,1,3,1,1,2,9,0,5.0,3.4,2.8,6.2,108,202
Aston Villa,22,26.1,49.7,7,77,630,7.0,4,2,6,3,1,1,17,0,8.5,7.7,6.2,13.9,117,215
Atalanta,21,25.9,44.4,7,77,630,7.0,4,3,7,4,0,0,8,0,6.0,6.0,5.2,11.2,68,161
Atlético Madrid,21,26.6,51.7,7,77,630,7.0,11,6,17,7,4,4,12,1,10.6,7.4,5.8,13.2,113,268
Barcelona,26,26.9,39.3,7,77,630,7.0,10,7,17,8,2,2,19,1,9.4,7.9,6.3,14.2,89,195
Bayern Munich,24,26.0,32.0,7,77,630,7.0,11,10,21,10,1,1,14,1,7.0,6.3,5.4,11.7,76,98
Benfica,20,26.7,54.6,7,77,630,7.0,12,8,20,10,2,2,22,1,9.1,7.6,6.4,14.0,156,305
Bologna,22,25.9,49.9,7,77,630,7.0,8,5,13,7,1,2,24,0,8.6,7.0,5.3,12.3,102,192
Brest,21,25.2,56.1,7,77,630,7.0,7,4,11,5,2,2,18,1,10.0,8.4,6.6,15.0,110,344
Celtic,20,27.4,44.1,7,77,630,7.0,9,3,12,7,2,2,15,0,9.3,7.8,6.1,13.9,124,249
Club Brugge,19,26.1,56.1,7,77,630,7.0,8,5,13,7,1,1,21,0,6.5,5.7,4.7,10.5,116,329
Dinamo Zagreb,23,26.7,62.9,7,77,630,7.0,18,10,28,14,4,4,13,1,15.3,12.6,7.7,20.4,177,402
Dortmund,22,26.4,44.0,7,77,630,7.0,11,6,17,11,0,0,13,0,11.6,11.6,6.5,18.0,118,214
Feyenoord,25,26.8,58.1,7,77,630,7.0,13,7,20,12,1,3,19,0,12.5,10.2,7.7,17.9,138,337
Girona,24,26.2,47.4,7,77,630,7.0,7,5,12,6,1,2,16,0,10.5,8.9,6.4,15.3,137,244
Inter,20,26.8,50.3,7,77,630,7.0,1,1,2,1,0,0,12,0,7.1,7.1,5.0,12.1,139,316
Juventus,23,26.4,49.0,7,77,630,7.0,5,4,9,4,1,2,9,0,10.8,9.4,8.3,17.7,102,278
Leverkusen,23,27.2,42.4,7,77,630,7.0,7,4,11,7,0,0,12,1,7.3,7.3,5.3,12.7,109,221
Lille,21,26.4,54.6,7,77,630,7.0,9,6,15,8,1,1,17,0,12.8,12.0,10.2,22.2,137,283
Liverpool,22,27.0,44.7,7,77,630,7.0,2,1,3,2,0,1,18,1,5.8,5.0,3.7,8.7,132,207
Manchester City,23,26.8,35.0,7,77,630,7.0,13,7,20,11,2,2,7,0,10.0,8.5,5.7,14.2,90,139
Milan,22,27.6,48.0,7,77,630,7.0,9,6,15,8,1,1,18,2,11.0,10.2,8.0,18.2,106,281
Monaco,23,27.0,47.0,7,77,630,7.0,10,7,17,9,1,1,20,1,9.0,8.2,6.0,14.2,104,267
Paris S-G,20,26.9,37.6,7,77,630,7.0,8,3,11,8,0,0,17,0,6.2,6.2,4.0,10.2,106,170
PSV Eindhoven,24,26.2,44.1,7,77,630,7.0,10,7,17,10,0,0,12,2,12.7,12.7,9.2,21.9,140,252
RB Leipzig,23,27.3,54.3,7,77,630,7.0,13,11,24,13,0,0,10,1,11.4,11.4,9.5,20.9,139,313
RB Salzburg,24,26.9,55.6,7,77,630,7.0,23,15,38,22,1,1,7,1,17.3,16.7,12.6,29.2,142,332
Real Madrid,23,26.2,48.0,7,77,630,7.0,12,9,21,10,2,3,9,0,13.5,11.2,9.8,21.0,155,267
Red Star,24,26.7,57.4,7,77,630,7.0,22,15,37,21,1,1,10,1,14.4,13.6,10.5,24.1,135,372
Shakhtar,21,26.9,56.6,7,77,630,7.0,12,6,18,11,1,2,15,0,13.1,11.5,8.4,20.0,172,359
Slovan Bratislava,23,27.4,60.7,7,77,630,7.0,24,18,42,23,1,2,11,0,17.9,16.3,13.3,29.7,205,438
Sparta Prague,24,27.0,65.6,7,77,630,7.0,18,13,31,17,1,1,9,0,11.7,10.9,8.7,19.6,195,375
Sporting CP,22,25.5,51.0,7,77,630,7.0,10,5,15,9,1,2,21,1,13.1,11.6,7.6,19.2,115,290
Sturm Graz,23,27.4,62.9,7,77,630,7.0,14,11,25,14,0,0,8,0,14.7,14.7,12.3,27.0,134,375
Stuttgart,22,26.8,38.7,7,77,630,7.0,13,10,23,13,0,0,21,1,8.7,8.7,7.4,16.1,124,206
Young Boys,24,26.8,58.1,7,77,630,7.0,21,20,41,21,0,2,6,1,17.3,15.7,13.9,29.5,136,299
